"Rank","Title","Status","Study Results","Conditions","Interventions","Gender","Age","Phases","Enrollment","Completion Date","Locations","URL"
206,"MICU Recovery Clinic","Recruiting","No Results Available","Critical Illness|Sepsis|Respiratory Failure|ARDS","Other: Questionnaires, Physical and Cognitive Function","All","Child, Adult, Older Adult",,"250","June 2024","Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States","https://ClinicalTrials.gov/show/NCT02560129"
207,"Treatment of Lung Injury From COVID-19 Infection With Intravenous Sodium Nitrite","Withdrawn","No Results Available","COVID-19|Acute Respiratory Distress Syndrome|Acute Respiratory Failure","Drug: Sodium Nitrite|Drug: Normal Saline","All","18 Years and older   (Adult, Older Adult)","Phase 2","0","August 15, 2020","Participating Research Facility, Tampa, Florida, United States|Participating Research Facility, Fort Worth, Texas, United States","https://ClinicalTrials.gov/show/NCT04401527"
208,"COVID-19 Treatment of Severe Acute Respiratory Syndrome With Veru-111","Completed","Has Results","Respiratory Distress Syndrome, Adult","Drug: Veru-111","All","18 Years and older   (Adult, Older Adult)","Phase 2","39","August 13, 2021","HonorHealth, Scottsdale, Arizona, United States|Methodist Hospital, Saint Louis Park, Minnesota, United States|Regions Hospital, Saint Paul, Minnesota, United States|Inspira Medical Center, Vineland, New Jersey, United States|Memorial Hermann Memorial City Hospital, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04388826"
209,"Airway Inflammatory Response During Illness in Children With Respiratory Failure","Withdrawn","No Results Available","Acute Respiratory Failure|Acute Respiratory Infection|Acute Respiratory Distress Syndrome",,"All","up to 17 Years   (Child)",,"0","August 2019","University of North Carolina Hospital at Chapel Hill, Chapel Hill, North Carolina, United States","https://ClinicalTrials.gov/show/NCT02047877"
210,"Seattle-PAP Bubble Nasal CPAP and Work of Breathing","Completed","No Results Available","Respiratory Distress Syndrome In Premature Infants|Bronchopulmonary Dysplasia|Newborn Primary Sleep Apnea","Device: Seattle-PAP","All","6 Hours to 72 Hours   (Child)","Phase 1","40","October 2015","Texas Children's Hospital, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT02210026"
211,"SURFAXIN® Treatment for Prevention of Bronchopulmonary Dysplasia (BPD) in Very Low Birth Weight (VLBW) Infants.","Terminated","Has Results","Respiratory Distress Syndrome, Newborn|Premature Birth|Bronchopulmonary Dysplasia","Drug: Lucinactant 175 mg/kg|Drug: Lucinactant 90 mg/kg|Drug: Placebo","All","3 Days to 10 Days   (Child)","Phase 2","136","July 2006","Discovery Laboratories, Inc., Warrington, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00215540"
212,"Evaluating Health Outcomes and QOL After ALI Among Participants of the ALTA, OMEGA, EDEN, and SAILS ARDS Network Trials","Completed","No Results Available","Respiratory Distress Syndrome, Adult",,"All","18 Years and older   (Adult, Older Adult)",,"922","October 2014","University of Maryland Medical Center, Baltimore, Maryland, United States|Johns Hopkins University, Baltimore, Maryland, United States|Wake Forest University, Winston Salem, North Carolina, United States|Vanderbilt University, Nashville, Tennessee, United States|Intermountain Medical Center, Murray, Utah, United States|University of Washington/Harborview Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00719446"
213,"Non-Invasive Monitoring of Respiratory Function in Spontaneously Breathing Patients With COVID-19 Infection","Unknown status","No Results Available","Respiratory Failure|Ventilatory Failure|COVID-19|Pneumonia|ARDS, Human","Device: AirGo Respiratory Monitor","All","18 Years and older   (Adult, Older Adult)",,"500","December 31, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04356443"
214,"Extracellular Vesicle Treatment for Acute Respiratory Distress Syndrome (ARDS) (EXTINGUISH ARDS)","Recruiting","No Results Available","Acute Respiratory Distress Syndrome|ARDS","Biological: ExoFlo|Other: Intravenous normal saline","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 3","320","August 3, 2024","Dignity Health, Chandler, Arizona, United States|Providence St. Jude Medical Center, Fullerton, California, United States|UC Irvine, Orange, California, United States|UC Davis Health, Sacramento, California, United States|JD Medical Group, LLC, Miami, Florida, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|Guthrie Medical Group, PC, Sayre, Pennsylvania, United States|PRX Research, Mesquite, Texas, United States","https://ClinicalTrials.gov/show/NCT05354141"
215,"Study of Enbrel (Etanercept) for the Treatment Sub-Acute Pulmonary Dysfunction After Allogeneic Stem Cell Transplant","Completed","Has Results","Lung Injury, Acute|Respiratory Distress Syndrome, Adult|Bronchiolitis Obliterans","Drug: Etanercept","All","6 Years and older   (Child, Adult, Older Adult)","Phase 2","34","February 2009","The University of Michigan Cancer Center, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT00141726"
216,"Etanercept for Non-Infectious Lung Injury Following Bone Marrow Transplantation","Completed","No Results Available","Respiratory Distress Syndrome, Adult|Bronchiolitis Obliterans|Pneumonia","Drug: etanercept","All","12 Months and older   (Child, Adult, Older Adult)","Phase 1|Phase 2","15","September 2003","University of Michigan, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT00029328"
217,"Evaluation of the Safety, Tolerability, and Pharmacokinetics of PLN-74809 in Participants With Acute Respiratory Distress Syndrome (ARDS) Associated With at Least Severe COVID-19","Terminated","Has Results","Acute Respiratory Distress Syndrome|SARS-CoV-2","Drug: PLN-74809|Drug: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2","6","August 2, 2021","Valleywise Health Medical Center, Phoenix, Arizona, United States|Cedars-Sinai Medical Center, Los Angeles, California, United States|National Jewish Health, Denver, Colorado, United States|Advent Health, Orlando, Florida, United States|Augusta University Medical Center, Augusta, Georgia, United States|Atlantic Health System, Summit, New Jersey, United States","https://ClinicalTrials.gov/show/NCT04565249"
218,"Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID-19","Active, not recruiting","No Results Available","Coronavirus Infections|Pneumonia, Viral|Acute Respiratory Distress Syndrome","Drug: Nitric Oxide","All","18 Years and older   (Adult, Older Adult)","Phase 2","70","April 2025","Providence HealthCare Network, Anchorage, Alaska, United States|Louisiana State University Health Shreveport, Shreveport, Louisiana, United States|Massachusetts General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04305457"
219,"Human Mesenchymal Stromal Cells For Acute Respiratory Distress Syndrome (START)","Completed","Has Results","Respiratory Distress Syndrome, Adult","Biological: Allogeneic Bone Marrow-Derived Human Mesenchymal Stromal Cells|Biological: Plasma-Lyte A","All","18 Years and older   (Adult, Older Adult)","Phase 2","60","February 9, 2018","University of California San Francisco, San Francisco, California, United States|Stanford University, Stanford, California, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Minnesota Medical Center, Saint Paul, Minnesota, United States|Ohio State University, Columbus, Ohio, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT02097641"
220,"Continuous Exhaled Breath Condensate pH in Mechanically Ventilated Patients","Unknown status","No Results Available","Respiratory Distress Syndrome, Adult|Respiratory Syncytial Virus Infections|Pneumonia|Acute Lung Injury",,"All","1 Hour and older   (Child, Adult, Older Adult)",,"120","January 2009","University of Virginia, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT00429637"
221,"Safety Study of Inhaled Carbon Monoxide to Treat Sepsis-Induced Acute Respiratory Distress Syndrome (ARDS)","Recruiting","No Results Available","Acute Respiratory Distress Syndrome|Sepsis","Drug: Inhaled Carbon Monoxide at CFK equation-determined personalized dose (200-500 ppm to achieve a COHb level of 6-8%)|Other: Inhaled Medical air","All","18 Years and older   (Adult, Older Adult)","Phase 1","36","September 2025","Massachusetts General Hospital, Boston, Massachusetts, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Washington University, Saint Louis, Missouri, United States|New York-Presbyterian Brooklyn Methodist Hospital, Brooklyn, New York, United States|Weill Cornell Medical College, New York, New York, United States|Duke University Hospital, Durham, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04870125"
222,"Non-Invasive Ventilation Via a Helmet Device for Patients Respiratory Failure","Completed","Has Results","Acute Respiratory Distress Syndrome|Shock|Ventilatory Failure|Cardiogenic Pulmonary Edema","Device: Non invasive ventilation using a helmet hyperbaric device|Other: Noninvasive ventilation via facemask","All","18 Years to 100 Years   (Adult, Older Adult)","Not Applicable","83","May 2016","University of Chicago Medical Center, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT01680783"
223,"The Oscillation for Acute Respiratory Distress Syndrome (ARDS) Treated Early (OSCILLATE) Trial","Terminated","No Results Available","Acute Respiratory Distress Syndrome (ARDS)","Device: SensorMedics 3100B High Frequency Oscillatory Ventilator|Procedure: Lung Protective Ventilation","All","16 Years to 85 Years   (Child, Adult, Older Adult)","Phase 3","548","September 2012","Denver Health Medical Centre, Denver, Colorado, United States|Orlando Regional Medical Centre, Orlando, Florida, United States|University of Michigan, Ann Arbor, Michigan, United States|Brody School of Medicine at East Carolina University, Greenville, North Carolina, United States|Hospital of the University ofPennsylvania, Philadelphia, Pennsylvania, United States|Parkland Memorial Hospital, Dallas, Texas, United States|University of Texas HSC, Houston, Texas, United States|Texas A&M HSC College of Medicine, Scott & White Hospital, Temple, Texas, United States|Peter Lougheed Centre/Foothills Medical Centre, Calgary, Alberta, Canada|University of Alberta Medical Centre, Edmonton, Alberta, Canada|St Paul's Hospital, Vancouver, British Columbia, Canada|Vancouver General Hospital, Vancouver, British Columbia, Canada|Vancouver Island Health Research Centre, Victoria, British Columbia, Canada|Health Sciences Centre, Winnipeg, Winnipeg, Manitoba, Canada|Royal Victoria Hospital, Barrie, Ontario, Canada|St. Joseph's Healthcare, McMaster University, Hamilton, Ontario, Canada|Hamilton Health Sciences, Hamilton, Ontario, Canada|University of Western Ontario - University Hospital, London, Ontario, Canada|University of Western Ontario - Victoria Hospital, London, Ontario, Canada|Ottawa Hospital - Civic Campus, Ottawa, Ontario, Canada|Ottawa Hospital-General Campus, Ottawa, Ontario, Canada|Mount Sinai Hospital, Toronto, Ontario, Canada|St Josephs, Toronto, Ontario, Canada|St Michael's Hospital, Toronto, Ontario, Canada|Sunnybrook Health Science Centre, Toronto, Ontario, Canada|University Health Network, Toronto, Ontario, Canada|William Osler Health Centre, Toronto, Ontario, Canada|Maisonneuve Rosemont, Montreal, Quebec, Canada|Centre Hosptialier de liUniersite de Montreal - CHUM- Saint Luc, Montreal, Quebec, Canada|Patrick Bellemare, Montreal, Quebec, Canada|Centre hospitalier universitaire de Sherbrooke (CHUS), Sherbrooke, Quebec, Canada|Hopital de l'Enfant-Jesus, Quebec, Canada|Clinica Las Lilas, Santiago, Chile|Pontificia Universidad Catolica de Chile, Santiago, Chile|Deenanath Mangeshkar Hospital & Research Centre, Pune, India|King Faisal Specialist Hospital & Research Centre, Jeddah, Saudi Arabia|King Fahad National Guard Hospital, Riyadh, Saudi Arabia|Riyadh Armed Forces, Riyadh, Saudi Arabia","https://ClinicalTrials.gov/show/NCT01506401"
224,"A Phase 2/3, Randomized, Double Blind, Placebo Controlled, Multicenter Study to Evaluate the Efficacy and Safety of FP-025 in Patients With Severe to Critical COVID 19 With Associated Acute Respiratory Distress Syndrome (ARDS)","Terminated","No Results Available","Severe to Critical COVID 19 With Associated ARDS","Drug: FP-025 100 mg|Drug: FP-025 300 mg|Drug: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","90","April 18, 2022","Velocity Chula Vista, Chula Vista, California, United States|Velocity San Diego, La Mesa, California, United States|Shady Grove Medical Center, Rockville, Maryland, United States|University of Nevada, Las Vegas (UNLV) School of Medicine, Las Vegas, Nevada, United States|Trinity Health Center, Minto, North Dakota, United States|Legacy Health, Portland, Oregon, United States|Houston Methodist, Houston, Texas, United States|United Medical Memorial Hospital, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04750278"
225,"Epidemiology of Surfactant Protein-B Deficiency","Recruiting","No Results Available","Lung Diseases|Respiratory Distress Syndrome, Newborn|Pulmonary Surfactant|Lung Diseases, Interstitial",,"All","up to 1 Year   (Child)",,"7000","June 30, 2024","Washington University School of Medicine, Saint Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT00014859"
226,"Trial of Therapeutic Hypothermia in Patients With ARDS","Recruiting","No Results Available","Respiratory Distress Syndrome, Adult","Device: Hypothermia|Drug: Neuromuscular Blocking Agents|Device: Standard of care","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","340","June 30, 2024","Emory University, Atlanta, Georgia, United States|Rush University Medical Center, Chicago, Illinois, United States|University of Illinois at Chicago, Chicago, Illinois, United States|Loyola University Chicago, Chicago, Illinois, United States|University of Maryland Medical Center, Baltimore, Maryland, United States|Johns Hopkins Hospital, Baltimore, Maryland, United States|Cooper Health System, Camden, New Jersey, United States|Cleveland Clinc, Cleveland, Ohio, United States|University of Pennsylavia, Philadelphia, Pennsylvania, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Temple University, Philadelphia, Pennsylvania, United States|Brooke Army Medical Center, Fort Sam Houston, Texas, United States|Intermountain Healthcare (Utah), Salt Lake City, Utah, United States|University of Wisconsin, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT04545424"
227,"CPAP Or Nasal Cannula Oxygen for Preterm Infants: A Randomized Controlled Trial","Completed","No Results Available","Infant, Newborn, Disease|Hypoxia|Respiratory Distress Syndrome|Bronchopulmonary Dysplasia","Procedure: Continuous positive airway pressure|Procedure: Nasal Cannula","All","Child, Adult, Older Adult","Not Applicable","38","March 29, 2023","UAB Hospital, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT04792099"
228,"Proportional Open Ventilation (POV) Device and Its Efficacy in Managing Acute Respiratory Failure in COVID-19 Patients","Unknown status","No Results Available","Acute Respiratory Failure|Covid19","Device: Life2000® Ventilator","All","18 Years and older   (Adult, Older Adult)","Not Applicable","10","October 2020","Park Nicolette, Bloomington, Minnesota, United States","https://ClinicalTrials.gov/show/NCT04581161"
229,"Add-on Reparixin in Adult Patients With ARDS","Recruiting","No Results Available","Acute Respiratory Distress Syndrome, Adult","Drug: Reparixin 600mg|Other: Matching Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2","66","September 2023","The University of Alabama at Birmingham Hospital, Birmingham, Alabama, United States|Banner - University Medical Center Phoenix, Phoenix, Arizona, United States|University of Southern California, Los Angeles, California, United States|University of California Irvine Health, Orange, California, United States|Unversity of California Davis Medical Center, Sacramento, California, United States|Denver Health, Denver, Colorado, United States|University of Florida Health Jacksonville, Jacksonville, Florida, United States|Methodist Hospitals of Northwest Indiana, Merrillville, Indiana, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Baystate Health, Springfield, Massachusetts, United States|University of Michigan Hospital, Ann Arbor, Michigan, United States|Detroit Medical Center, Detroit, Michigan, United States|MyMichigan Medical Center Midland, Midland, Michigan, United States|New York University Langone Health, New York, New York, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, United States|University of Oklahoma Medical Center, Oklahoma City, Oklahoma, United States|Oregon Health and Science University, Portland, Oregon, United States|University of Tennessee Medical Center, Knoxville, Tennessee, United States|Baptist Hospitals of Southeast Texas, Beaumont, Texas, United States|Houston Methodist Hospital, Houston, Texas, United States|Marshfield Medical Center, Horicon, Wisconsin, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Universitaetsklinikum Heidelberg, Heidelberg, Baden Wuerttemberg, Germany|Universitaetsmedizin Goettingen, Göttingen, Niedersachsen, Germany|Herzzentrum Muenster, Muenster, Nordrhein Westfalen, Germany|Universitaetsklinikum des Saarlandes, Homburg, Saarland, Germany|Berufsgenossenschaftliche Kliniken Bergmannstrost, Halle, Sachsen Anhalt, Germany|Universitaetsklinikum Leipzig, Leipzig, Sachsen, Germany|University Hospital of Schleswig-Holstein, Kiel, Schleswig Holstein, Germany|Ospedale San Raffaele, Milano, Lombardia, Italy","https://ClinicalTrials.gov/show/NCT05496868"
230,"Arrow Chloragard Peripherally-Inserted Central Catheters (PICC) Study","Unknown status","No Results Available","Vascular Access Complication|Vascular Access Related Infection","Device: Arrow PICC with Chloragard Technology","All","18 Years and older   (Adult, Older Adult)","Not Applicable","100","September 2017","University of Kentucky Medical Center, Lexington, Kentucky, United States|Detroit Medical Center, Detroit, Michigan, United States","https://ClinicalTrials.gov/show/NCT03019302"
231,"Safety and Efficacy Study of Inhaled Carbon Monoxide to Treat Acute Respiratory Distress Syndrome (ARDS)","Active, not recruiting","No Results Available","Acute Respiratory Distress Syndrome","Drug: Inhaled Carbon Monoxide at 200 ppm|Other: Inhaled Medical air","All","18 Years and older   (Adult, Older Adult)","Phase 2","32","December 2023","Massachusetts General Hospital, Boston, Massachusetts, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Washington University, Saint Louis, Missouri, United States|New York-Presbyterian Brooklyn Methodist Hospital, Brooklyn, New York, United States|Weill Cornell Medical College, New York, New York, United States|Duke Regional Hospital, Durham, North Carolina, United States|Duke University Hospital, Durham, North Carolina, United States","https://ClinicalTrials.gov/show/NCT03799874"
232,"Ultra-Low Tidal Volume Mechanical Ventilation in ARDS Through ECMO","Not yet recruiting","No Results Available","ARDS","Device: Venovenous ECMO","All","18 Years and older   (Adult, Older Adult)","Not Applicable","72","December 2023","New York Presbyterian Hospital, New York, New York, United States|OHSU Hospital, Portland, Oregon, United States|University of Alberta Hospital, Edmonton, Alberta, Canada|London Health Sciences Centre, London, Ontario, Canada|University of Ottawa, Ottawa, Ontario, Canada|Mount Sinai Hospital, Toronto, Ontario, Canada|University Health Network - Toronto General Hospital, Toronto, Ontario, Canada|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada|Unity Health, Toronto, Ontario, Canada|University Health Network - Toronto Western Hospital, Toronto, Ontario, Canada|Centre Hospitalier Universitaire de Sherbrooke, Sherbrooke, Quebec, Canada","https://ClinicalTrials.gov/show/NCT04832789"
233,"Nasal High-frequency Jet Ventilation (nHFJV) Following Extubation in Preterm Infants","Active, not recruiting","No Results Available","Infant,Premature|Respiratory Failure|Respiratory Insufficiency|Respiratory Distress Syndrome in Premature Infant","Other: Nasal high-frequency jet ventilation (nHFJV)|Other: Nasal intermittent positive pressure ventilation (NIPPV)","All","up to 72 Hours   (Child)","Not Applicable","40","December 31, 2022","University of Utah, Salt Lake City, Utah, United States|Primary Children's Hospital, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT03558737"
234,"Implementation of Lung Protective Ventilation in Patients With Acute Respiratory Failure","Unknown status","No Results Available","Acute Respiratory Distress Syndrome|ARDS|Respiratory Distress Syndrome, Acute|Respiratory Insufficiency|Respiratory Distress Syndrome|Shock Lung|Severe Acute Respiratory Syndrome",,"All","18 Years and older   (Adult, Older Adult)",,"8000","December 2022","Colin Grissom, Murray, Utah, United States","https://ClinicalTrials.gov/show/NCT03225807"
235,"Understanding the Role of Genes and Biomarkers in the Inflammation and Blood Clotting Process in Children With Acute Lung Injury","Completed","No Results Available","Respiratory Distress Syndrome, Adult",,"All","30 Days to 18 Years   (Child, Adult)",,"396","December 2016","Children's Hospital Central California, Fresno, California, United States|Children's Hospital Los Angeles, Los Angeles, California, United States|Children's Hospital & Research Center of Oakland, Oakland, California, United States|University of California, San Francisco, San Francisco, California, United States|American Family Children's Hospital, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT00605527"
236,"SB-681323 IV for Subjects at Risk of Acute Lung Injury or ARDS","Completed","Has Results","Lung Injury, Acute","Drug: SB-681323 Intravenous 3mg|Drug: SB-681323 Intravenous 7.5 mg|Drug: SB-681323 Intravenous 7.5mg|Drug: SB-681323 Intravenous 10mg|Other: Placebo","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","77","February 9, 2013","GSK Investigational Site, Lexington, Kentucky, United States|GSK Investigational Site, Durham, North Carolina, United States|GSK Investigational Site, Winston-Salem, North Carolina, United States|GSK Investigational Site, Philadelphia, Pennsylvania, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00996840"
237,"Linking Endotypes and Outcomes in Pediatric Acute Respiratory Distress Syndrome","Recruiting","No Results Available","Acute Respiratory Distress Syndrome",,"All","44 Weeks to 17 Years   (Child)",,"500","December 2024","Arkansas Children's Hospital, Little Rock, Arkansas, United States|Children's Hospital Colorado, Aurora, Colorado, United States|Variety Children's Hospital D/B/A Nicklaus Children's Hospital, Miami, Florida, United States|Children's Healthcare of Atlanta - Emory, Atlanta, Georgia, United States|Riley Children's at Indiana University Health, Indianapolis, Indiana, United States|Children's Mercy Hospital, Kansas City, Missouri, United States|Washington University, Saint Louis, Missouri, United States|Cooperman Barnabas Medical Center, Livingston, New Jersey, United States|Columbia University Medical Center, New York, New York, United States|Akron Children's Hospital, Akron, Ohio, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Nationwide Children's Hospital, Columbus, Ohio, United States|Penn State Hershey Children's Hospital, Hershey, Pennsylvania, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|Texas Children's Hospital / Baylor College of Medicine, Houston, Texas, United States|Children's Hospital of Wisconsin, Milwaukee, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT04113434"
238,"Severe ARDS: Generating Evidence","Completed","No Results Available","Acute Respiratory Distress Syndrome|Acute Respiratory Failure With Hypoxia|Acute Respiratory Failure",,"All","18 Years and older   (Adult, Older Adult)",,"2400","April 30, 2017","University of Arizona, Tucson, Arizona, United States|Los Angeles County + University of Southern California Medical Center, Los Angeles, California, United States|University of California, Los Angeles, Los Angeles, California, United States|Mayo Clinic, Jacksonville, Florida, United States|Emory University, Atlanta, Georgia, United States|University of Kentucky Medical Center, Lexington, Kentucky, United States|Saint Agnes Hospital, Baltimore, Maryland, United States|Johns Hopkins University, Baltimore, Maryland, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Baystate Medical Center, Springfield, Massachusetts, United States|University of Michigan Medical Center, Ann Arbor, Michigan, United States|Saint Joseph Mercy Ann Arbor, Ypsilanti, Michigan, United States|Mayo Clinic, Rochester, Minnesota, United States|Regions Hospital, Saint Paul, Minnesota, United States|Montefiore Medical Center, Bronx, New York, United States|Northwell Health, Manhasset, New York, United States|Columbia University Medical Center, New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|East Carolina University, Greenville, North Carolina, United States|University of Cincinnati Medical Center, Cincinnati, Ohio, United States|Cleveland Clinic, Cleveland, Ohio, United States|Ohio State University Medical Center, Columbus, Ohio, United States|Oregan Health and Science University Hospital, Portland, Oregon, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|Intermountain Medical Center, Murray, Utah, United States|University of Utah Hospital, Salt Lake City, Utah, United States|Harborview Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT03021824"
239,"Fibrinolytic Therapy to Treat ARDS in the Setting of COVID-19 Infection","Completed","Has Results","Severe Acute Respiratory Syndrome|Respiratory Failure|Acute Respiratory Distress Syndrome","Drug: Alteplase 50 MG [Activase]","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","50","September 30, 2021","Scripps Memorial Hospital La Jolla, La Jolla, California, United States|University of Colorado, Denver, Aurora, Colorado, United States|Denver Health Medical Center, Denver, Colorado, United States|National Jewish Health, Denver, Colorado, United States|St. Mary's Medical Center, West Palm Beach, Florida, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Long Island Jewish Medical Center, New York, New York, United States|Methodist Dallas Medical Center, Dallas, Texas, United States|Ben Taub Hospital, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04357730"
240,"Feeding the Critically Ill During Phases of Altered Redox Status","Completed","No Results Available","Acute Respiratory Distress Syndrome|Oxidative Stress|Euthyroid Sick Syndromes|Systemic Inflammatory Response Syndrome","Other: Jevity 1.5","All","18 Years and older   (Adult, Older Adult)","Not Applicable","35","October 13, 2018","Rush University Medical Center, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT03085615"
241,"Zofin (Organicell Flow) for Patients With COVID-19","Active, not recruiting","No Results Available","Corona Virus Infection|COVID-19|SARS|Acute Respiratory Distress Syndrome","Biological: Zofin|Other: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","20","August 31, 2023","George C. Shapiro, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04384445"
242,"Enhancing Utilization of Non-Invasive Positive Pressure Ventilation in Critical Care","Completed","No Results Available","COPD|Congestive Heart Failure|Asthma|Respiratory Distress Syndrome, Adult|Pneumonia",,"All","18 Years and older   (Adult, Older Adult)",,"800","December 2009","Tufts Medical Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00458926"
243,"Early Versus Delayed Enteral Feeding to Treat People With Acute Lung Injury or Acute Respiratory Distress Syndrome (The EDEN Study)","Completed","No Results Available","Respiratory Distress Syndrome, Adult","Behavioral: Minimal (Trophic) Feeding|Behavioral: Full Feeding","All","13 Years and older   (Child, Adult, Older Adult)","Phase 3","1000","May 2011","University of San Francisco-Fresno Medical Center, Fresno, California, United States|University of California, Davis Medical Center, Sacramento, California, United States|University of California, San Francisco (UCSF)-Moffitt Hospital, San Francisco, California, United States|Centura St. Anthony Central Hospital, Denver, Colorado, United States|Denver Health Medical Center, Denver, Colorado, United States|Rose Medical Center, Denver, Colorado, United States|University of Colorado Health Sciences Center, Denver, Colorado, United States|Washington Hospital Center, Washington DC, District of Columbia, United States|Baton Rouge General Hospital-Blue Bonnet, Baton Rouge, Louisiana, United States|Baton Rouge General Hospital-Midcity, Baton Rouge, Louisiana, United States|Earl K. Long Medical Center, Baton Rouge, Louisiana, United States|Our Lady of the Lake Regional Medical Center, Baton Rouge, Louisiana, United States|Medical Center of Louisiana, New Orleans, Louisiana, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Tulane University Health Sciences Center, New Orleans, Louisiana, United States|Johns Hopkins Bayview Medical Center, Baltimore, Maryland, United States|Johns Hopkins Hospital, Baltimore, Maryland, United States|Union Memorial Hospital, Baltimore, Maryland, United States|University of Maryland Shock Trauma Center, Baltimore, Maryland, United States|Baystate Medical Center, Springfield, Massachusetts, United States|Rochester Methodist Hospital, Rochester, Minnesota, United States|St. Mary's Hospital, Mayo Clinic, Rochester, Minnesota, United States|Duke University Medical Center, Durham, North Carolina, United States|Durham Regional Medical Center, Durham, North Carolina, United States|Moses Cone Health System, Greensboro, North Carolina, United States|Wesley Long Community Hospital, Greensboro, North Carolina, United States|Wake Forest University Baptist Medical Center, Winston Salem, North Carolina, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|MetroHealth Medical Center, Cleveland, Ohio, United States|University Hospitals of Cleveland, Cleveland, Ohio, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Baylor College of Medicine, Houston, Texas, United States|Intermountain Medical Center, Murray, Utah, United States|McKay-Dee Hospital, Ogden, Utah, United States|Utah Valley Regional Medical Center, Provo, Utah, United States|LDS Hospital, Salt Lake City, Utah, United States|University of Virginia Medical Center, Charlottesville, Virginia, United States|Harborview Medical Center, Seattle, Washington, United States|University of Washington, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00883948"
244,"Poly-ICLC to Prevent Respiratory Viral Infections A Safety Study","Completed","No Results Available","Influenza|Severe Acute Respiratory Distress Syndrome|Smallpox|Ebola|Unknown Respiratory Viruses","Drug: Poly-ICLC","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","57","December 16, 2009","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT00646152"
